category_folder,category_label,year,title,source,source_url,local_pdf,pages,size_bytes,sha256_prefix,note
01_Surveys_Frameworks,01 综述与框架 / Surveys & Frameworks,2024,From Persona to Personalization: A Survey on Role-Playing Language Agents,arXiv,https://arxiv.org/pdf/2404.18231,01_Surveys_Frameworks/2024_From_Persona_to_Personalization_Survey.pdf,50,2820679,4ab20f7918ad,Core taxonomy reference; 2024 but still useful.
01_Surveys_Frameworks,01 综述与框架 / Surveys & Frameworks,2025,A Survey of Personalized Large Language Models: Progress and Future Directions,arXiv,https://arxiv.org/pdf/2502.11528,01_Surveys_Frameworks/2025_A_Survey_of_Personalized_Large_Language_Models.pdf,34,3482847,d6650441ee3a,Core personalization survey.
01_Surveys_Frameworks,01 综述与框架 / Surveys & Frameworks,2025,"Exploring Consciousness in LLMs: A Systematic Survey of Theories, Implementations, and Frontier Risks",arXiv,https://arxiv.org/pdf/2505.19806,01_Surveys_Frameworks/2025_Exploring_Consciousness_in_LLMs_Survey.pdf,17,505832,5764dca7b703,Consciousness-adjacent survey; use cautiously.
01_Surveys_Frameworks,01 综述与框架 / Surveys & Frameworks,2026,"Role-Playing Agents Driven by Large Language Models: Current Status, Challenges, and Future Trends",arXiv,https://arxiv.org/pdf/2601.10122,01_Surveys_Frameworks/2026_Role-Playing_Agents_Driven_by_LLMs.pdf,15,421897,d640c642fa79,2026 role-playing agent survey.
01_Surveys_Frameworks,01 综述与框架 / Surveys & Frameworks,2026,"Toward Personalized LLM-Powered Agents: Foundations, Evaluation, and Future Directions",arXiv,https://arxiv.org/pdf/2602.22680,01_Surveys_Frameworks/2026_Toward_Personalized_LLM-Powered_Agents_Survey.pdf,35,2018354,cb95375b890d,2026 personalized-agent survey.
02_Persona_RolePlaying_CharacterAgents,02 Persona / Role-playing / Character Agents,2024,Ditto: Building Digital Twins of Artifacts through Self-Alignment,ACL Anthology,https://aclanthology.org/2024.acl-long.423.pdf,02_Persona_RolePlaying_CharacterAgents/2024_Ditto_Digital_Twins_through_Self-Alignment.pdf,13,937492,669ddfd495eb,Digital-twin/self-alignment adjacent method.
02_Persona_RolePlaying_CharacterAgents,02 Persona / Role-playing / Character Agents,2024,InCharacter: Evaluating Personality Fidelity in Role-Playing Agents through Psychological Interviews,ACL Anthology,https://aclanthology.org/2024.acl-long.102.pdf,02_Persona_RolePlaying_CharacterAgents/2024_InCharacter_Evaluating_Personality_Fidelity.pdf,34,2824291,85ba41b1a78e,Psychological-interview evaluation of role fidelity.
02_Persona_RolePlaying_CharacterAgents,02 Persona / Role-playing / Character Agents,2025,MMRole: A Comprehensive Framework for Developing and Evaluating Multimodal Role-Playing Agents,arXiv / ICLR,https://arxiv.org/pdf/2408.04203,02_Persona_RolePlaying_CharacterAgents/2025_MMRole_Multimodal_Role-Playing_Agents.pdf,22,18031108,cef5cbfbcc2f,Multimodal role-playing agents.
02_Persona_RolePlaying_CharacterAgents,02 Persona / Role-playing / Character Agents,2025,OpenCharacter: Training Customizable Role-Playing LLMs with Large-Scale Synthetic Personas,arXiv,https://arxiv.org/pdf/2501.15427,02_Persona_RolePlaying_CharacterAgents/2025_OpenCharacter_Customizable_Role-Playing_LLMs.pdf,14,497459,96ca7c3c5e7d,Synthetic-persona SFT for role-playing.
02_Persona_RolePlaying_CharacterAgents,02 Persona / Role-playing / Character Agents,2025,PersonaGym: Evaluating Persona Agents and LLMs,ACL Anthology / EMNLP Findings,https://aclanthology.org/2025.findings-emnlp.368.pdf,02_Persona_RolePlaying_CharacterAgents/2025_PersonaGym_Evaluating_Persona_Agents_and_LLMs.pdf,24,3001717,0f09afd90bba,Dynamic persona-agent evaluation benchmark.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2024,LaMP: When Large Language Models Meet Personalization,ACL Anthology,https://aclanthology.org/2024.acl-long.399.pdf,03_Personalization_IndividualAlignment/2024_LaMP_When_LLMs_Meet_Personalization.pdf,23,918378,a3d49dd3e98a,Personalization benchmark suite; 2024 retained for benchmark value.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2024,PersoBench: A Benchmark for Personalized Response Generation,arXiv,https://arxiv.org/pdf/2410.03198,03_Personalization_IndividualAlignment/2024_PersoBench_Personalized_Response_Generation.pdf,16,674050,88c183e223ad,Personalized response generation benchmark.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2025,Aligning LLMs with Individual Preferences via Interaction,ACL Anthology / COLING,https://aclanthology.org/2025.coling-main.511.pdf,03_Personalization_IndividualAlignment/2025_Aligning_LLMs_with_Individual_Preferences_via_Interaction.pdf,15,1701383,cd6e0d567ac2,Interactive personalized alignment.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2025,PAD: Personalized Alignment of LLMs at Decoding-time,OpenReview / ICLR,https://openreview.net/pdf?id=e7AUJpP8bV,03_Personalization_IndividualAlignment/2025_PAD_Personalized_Alignment_at_Decoding-Time.pdf,26,1611238,66f186719e02,Decoding-time personalized alignment.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2025,PB&J: Improving Language Model Personas via Rationalization with Psychological Scaffolds,arXiv,https://arxiv.org/pdf/2504.17993,03_Personalization_IndividualAlignment/2025_PBJ_Improving_Language_Model_Personas_via_Rationalization.pdf,25,859636,16daf6f6bc05,Psychological scaffolds / rationalization for personas.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2025,"Know Me, Respond to Me: Benchmarking LLMs for Dynamic User Profiling and Personalized Responses at Scale / PersonaMem",arXiv / OpenReview,https://arxiv.org/pdf/2504.14225,03_Personalization_IndividualAlignment/2025_PersonaMem_Dynamic_User_Profile_Modeling.pdf,28,13198971,363c8f0c5180,Dynamic user profile modeling.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2025,PersonalLLM: Tailoring LLMs to Individual Preferences,OpenReview / ICLR,https://openreview.net/pdf?id=2R7498e2Tx,03_Personalization_IndividualAlignment/2025_PersonalLLM_Tailoring_LLMs_to_Individual_Preferences.pdf,23,3412339,0c582c631910,Individual preference personalization.
03_Personalization_IndividualAlignment,03 Personalization / Individual Preference Alignment,2026,HorizonBench: Long-Horizon Personalization with Evolving Preferences,arXiv,https://arxiv.org/pdf/2604.17283,03_Personalization_IndividualAlignment/2026_HorizonBench_Long_Horizon_Personalization_with_Evolving_Preferences.pdf,19,1654670,8f954504a512,2026 long-horizon personalization benchmark; added for recency.
04_Memory_SelfContinuity,04 Long-term Memory / Self-continuity,2025,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,arXiv / OpenReview / ICLR,https://arxiv.org/pdf/2410.10813,04_Memory_SelfContinuity/2025_LongMemEval_Long-Term_Interactive_Memory.pdf,28,588956,c6c6d75072d3,Long-term interactive memory benchmark.
04_Memory_SelfContinuity,04 Long-term Memory / Self-continuity,2025,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,arXiv,https://arxiv.org/pdf/2504.19413,04_Memory_SelfContinuity/2025_Mem0_Production-Ready_AI_Agents_with_Long-Term_Memory.pdf,23,1144031,bec870b657aa,Production-oriented long-term memory architecture.
